category,source_pattern,repository_action,reason
competition_data,open/data/,excluded,"대회 데이터 재배포 방지"
virtual_environment,.venv/,excluded,"requirements로 재생성 가능"
prediction_arrays,experiments/results/predictions/;*.npz;*.npy,excluded,"대형 바이너리이며 JSON/CSV 요약을 보존"
trained_models,experiments/artifacts/;*.pkl;*.joblib;*.cbm;*.ckpt,excluded,"재학습 가능하고 Git에 부적합"
experiment_cache,experiments/_cache/;experiments/_tabicl_site/;experiments/logs/,excluded,"캐시·임시 설치·로컬 로그"
submission_packages,submission/dist/*.zip;submission/work/;submission/archive/,excluded,"제출 패키지와 중간 모델; verification JSON만 포함"
third_party_copies,research/external_repos/,excluded,"제3자 코드 중복 및 라이선스 위험"
temporary_outputs,tmp/;output/;catboost_info/;checkpoints/,excluded,"재생성 가능한 로컬 산출물"
credentials,.env*;*.pem;*.key;kaggle.json,blocked,"인증정보 및 비밀키"

