strategy,protocol,family,calibration,folds,mean_brier,weighted_brier,mean_raw_skill,worst_raw_skill,positive_skill_folds,mean_score,mean_auc,brier_2022,score_2022,brier_2023,score_2023,brier_2024,score_2024
refit__ensemble__raw_equal,refit,ensemble,none,3,0.24781547648863222,0.24781198252094186,0.00738960364669831,-0.003815796907355784,2,866.1535949150237,0.5490814122935466,0.24409666722835985,2033.5797670153365,0.25095394739097204,0.0,0.24839581484656487,564.8810177297347
refit__ensemble__raw_fixed_l80,refit,ensemble,none,3,0.24784630451392334,0.24784736151189318,0.0072623136195088716,0.00017572518448871755,3,726.2313619508872,0.5477641533328,0.24492514852699965,1701.0748296095946,0.24995606687531097,17.572518448871755,0.24865769813945943,460.0467377941952
refit__ensemble__raw_fixed_l90,refit,ensemble,none,3,0.24793696494090137,0.247939114523068,0.006897905653151996,0.0010535396927001672,3,689.7905653151996,0.5467343802723433,0.24529082335219354,1554.3139008335704,0.24973661324986354,105.35396927001672,0.24878345822064707,409.7038258420116
refit__linear__raw,refit,linear,none,3,0.24806781757715315,0.24807084754133824,0.006372508708148465,0.0017050077730443869,3,637.2508708148465,0.5452235279030002,0.2457012553735444,1389.5899972371506,0.24957374623096892,170.50077730443869,0.24892845112694617,351.66183790295014
refit__linear__logit_intercept,refit,linear,logit_intercept,3,0.24814146840136017,0.24814253417524462,0.006077380082862886,0.0008968973986502871,3,607.7380082862886,0.5452235279030002,0.24584807480664564,1330.6650866888647,0.24977577382308952,89.68973986502871,0.2488005565743453,402.8591983049723
frozen__linear__isotonic,frozen,linear,isotonic,3,0.24816641636158168,0.24816778280579996,0.005979507629263432,-0.0005836368462688313,2,617.4053244686377,0.5437598379834979,0.2453792824101987,1518.811501934192,0.2501459073816116,0.0,0.24897405929293476,333.404471471721
frozen__linear__affine_brier,frozen,linear,affine_brier,3,0.2481849669834794,0.24818739547193147,0.005904433517501954,0.00021707215715627282,3,590.4433517501953,0.543878790746144,0.24555575608096508,1447.985078998315,0.24994573013221968,21.70721571562728,0.2490534147372534,301.63776053664384
frozen__linear__platt,frozen,linear,platt,3,0.24819469263749863,0.24819704508429113,0.005865481046393765,0.0001523228408432109,3,586.5481046393764,0.543878790746144,0.2455663414389865,1443.7367226236897,0.24996191746117954,15.23228408432109,0.24905581901232984,300.6753072101187
frozen__linear__logit_intercept,frozen,linear,logit_intercept,3,0.2481953779350489,0.24819833146374068,0.005861051643093584,0.0015388946610411791,3,586.1051643093584,0.543878790746144,0.24595205806212175,1288.9321641592956,0.24961527450866594,153.8894661041179,0.2490188012343591,315.49386266466195
refit__linear__platt,refit,linear,platt,3,0.24821068354229148,0.2482109449049617,0.005801639565642873,-0.0007000995364705442,2,603.500607779972,0.5452235279030002,0.24558028316767164,1438.1413113194296,0.250175023053949,0.0,0.24887674440525376,372.36051202048645
